Rk,Player,Nation,Pos,Club,League,Age,Recov%,Int,Int_rk,Int%,BlkSh,Blksh_rk,Blksh%,BlkPass,BlkPass_rk,BlkPass%,Clr,clr_rk,Clr%,Tkl,Tkl_rk,Tkl%,Press,Press_rk,Press%,Blocks,Blocks_rk,Blocks%
2672,Fikayo Tomori,ENG,DF,Milan,Serie A,24,58.44467283,2.52,2659,91.05858171,0.83,2677,91.67523124,1.16,1732,59.30113052,3.34,2466,85.97837461,2.42,2286,78.28023296,13.7,1253,42.89140116,1.99,2305,78.9311408
2673,Sandro Tonali,ITA,MF,Milan,Serie A,22,71.66837958,1.97,2230,76.36176773,0.31,1938,66.3583419,1.04,1536,52.58650223,0.66,1091,38.01883502,1.73,1651,56.52620761,19.9,2197,75.23124358,1.35,1432,49.02363823
2674,Lorenzo Tonelli,ITA,DF,Empoli,Serie A,32,84.58376156,1.65,1908,65.33059267,0.82,2673,91.53819801,0.82,1151,39.39705379,3.92,2568,89.53610045,1.75,1677,57.4169236,11.1,866,29.63343611,1.65,1853,63.44638575
2675,Ivan Toney,ENG,FW,Brentford,Premier League,26,17.36896197,0.65,927,31.72319287,0.09,1192,40.8016444,0.87,1242,42.51455978,1.33,1706,59.46982909,0.96,838,28.67420349,14.1,1305,44.67283316,0.96,951,32.54539226
2676,Ernesto Torregrossa,ITA,FW,Sampdoria,Serie A,29,18.87632751,0,1,0,0,1,0,0,1,0,0.77,1205,41.99511685,1.54,1443,49.40047962,16.2,1641,56.18362453,0,1,0
2677,Lucas Torreira,URU,MF,Fiorentina,Serie A,26,76.56731757,1.56,1794,61.4251456,0,1,0,0.37,621,21.24015074,1.19,1606,55.98186257,2.17,2081,71.25727989,16.6,1705,58.37615622,0.37,538,18.3967112
2678,Raúl Torrente,ESP,DF,Granada,La Liga,21,79.41075711,1.34,1567,53.64850976,0.77,2631,90.09934909,0.7,990,33.88146626,4.86,2716,94.6982909,2.68,2456,84.10414526,12.6,1083,37.06748887,1.48,1611,55.1558753
2679,Ferrán Torres,ESP,FW,Manchester City,Premier League,22,10.34600891,0.29,629,21.5142172,0.29,1887,64.61116821,1.47,2226,76.2247345,0,1,0,0.29,491,16.78657074,11.2,881,30.14731072,1.76,2023,69.27029805
2680,Ferrán Torres,ESP,FW,Barcelona,La Liga,22,13.80609798,0.51,821,28.09181226,0.19,1580,54.09386776,0.57,810,27.71497088,0.38,823,28.67108476,0.57,600,20.52072628,12.2,1018,34.84069887,0.76,768,26.27612196
2681,Óliver Torres,ESP,MFFW,Sevilla,La Liga,27,60.50017129,0.8,1046,35.79993148,0.09,1192,40.8016444,1.25,1882,64.43987667,0.45,882,30.728985,1.79,1715,58.71873929,24.5,2623,89.82528263,1.34,1418,48.54402193
2682,Pau Torres,ESP,DF,Villarreal,La Liga,25,68.10551559,1.45,1685,57.69099007,0.79,2644,90.54470709,0.57,810,27.71497088,3.79,2538,88.4897105,0.88,774,26.48167181,6.12,348,11.88763275,1.36,1451,49.67454608
2683,Roberto Torres,ESP,MFFW,Osasuna,La Liga,33,68.72216513,1.33,1544,52.86056869,0,1,0,1.22,1828,62.58992806,0.78,1219,42.48343216,0.67,647,22.13086674,11.4,910,31.14080164,1.22,1233,42.20623501
2684,Lucas Torró,ESP,MF,Osasuna,La Liga,27,97.77321,2.44,2608,89.31140802,0.33,1993,68.24254882,1.52,2279,78.0404248,2.64,2288,79.76979421,2.77,2504,85.74854402,16.3,1661,56.86879068,1.85,2139,73.24426173
2685,Jordan Torunarigha,GER,DF,Hertha BSC,Bundesliga,24,73.58684481,3.52,2891,99.00650908,0.37,2074,71.01747174,0.56,790,27.02980473,5.74,2811,98.01185909,0.74,695,23.7752655,6.48,360,12.29873244,0.93,924,31.62041795
2686,Cenk Tosun,TUR,FW,Everton,Premier League,30,79.75334018,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,691,23.63823227,0,1,0
2687,Abdoulaye Touré,FRA,MF,Genoa,Serie A,28,72.59335389,2.08,2346,80.33573141,0.21,1652,56.56046591,2.08,2735,93.66221309,2.29,2171,75.68887339,1.67,1576,53.95683453,20.4,2291,78.45152449,2.29,2575,88.18088386
2688,Almamy Touré,MLI,DF,Eint Frankfurt,Bundesliga,26,71.80541281,2.14,2396,82.0486468,0.54,2355,80.64405618,2.14,2762,94.58718739,3.39,2470,86.11789327,2.68,2456,84.10414526,17,1768,60.5344296,2.68,2754,94.31312093
2689,Lucas Tousart,FRA,MF,Hertha BSC,Bundesliga,25,82.9393628,1.88,2143,73.38129496,0.37,2074,71.01747174,1.7,2489,85.23466941,2.8,2335,81.40913847,2.29,2178,74.58033573,22.4,2476,84.78931141,2.06,2399,82.15142172
2690,Yoann Touzghar,TUN,FW,Troyes,Ligue 1,35,12.23021583,0.19,580,19.83556012,0.06,1078,36.89619733,0.31,587,20.07536828,0.49,924,32.19393094,0.31,495,16.92360397,10.1,743,25.41966427,0.37,538,18.3967112
